"afdc_id","afdc_station_name","afdc_state","afdc_ev_network","matched","match_status","ocm_poi_id","distance_miles","ocm_operator","comment_count","fault_comment_count","most_recent_comment_date","ocm_status"
"418068","Kwik Trip #762","WI","KWIK_CHARGE","True","matched","468226","0","(Unknown Operator)","0","0",,"Operational"
"419958","SWTCH Energy","TX","SWTCH","True","matched","464966","0","SWTCH - Charge Everywhere","0","0",,"Operational"
"420904","Sheetz Altoona, powered by Electrify America","PA","Electrify America","True","matched","467089","0","Electrify America","0","0",,"Operational"
"421129","Los Lunas Pavilions Shopping Center","NM","FCN","True","matched","465910","0","EV Energy Group (FCN)","0","0",,"Operational"
"422094","EVolve NY Findley Lake","NY","Electrify America","True","matched","467675","0","Electrify America","0","0",,"Operational"
"422166","EVolve NY Phelps","NY","Electrify America","True","matched","467955","0","Electrify America","0","0",,"Operational"
"422848","Rusty's - Santo","TX","FCN","True","matched","465071","0","EV Energy Group (FCN)","0","0",,"Operational"
"423056","FasCharge 5725 Admiral Marathon Walker","MI","RED_E","True","matched","461135","0.012","Red E Charge","0","0",,"Operational"
"428480","Sheetz Pittsburgh #619","PA","eVgo Network","True","matched","226528","0.0188","eVgo Network","0","0",,"Operational"
"429734","FasCharge 4662 BP Express Stop Jackson","MI","RED_E","True","matched","461715","0.0167","Red E Charge","1","0","2025-10-02T00:50:48.957Z","Operational"
"429911","Electric Era Charging Station","DE","ELECTRIC_ERA","True","matched","306817","0.004","Electric Era (US)","0","0",,"Operational"
"434052","Twin Gables Cafe - Brule","WI","FCN","True","matched","468810","0","EV Energy Group (FCN)","0","0",,"Operational"
"434707","Pilot Travel Center 408","MD","eVgo Network","True","matched","466863","0","eVgo Network","0","0",,"Operational"
"438006","Town of Rumford","ME","EV Connect","True","matched","468344","0","EV Connect","0","0",,"Operational"
"440440","Kwik Trip #296","WI","KWIK_CHARGE","True","matched","464390","0.0025","Kwik Charge (Kwik Trip)","0","0",,"Operational"
"440469","Durango, CO - Tesla Supercharger","CO","Tesla","True","matched","123726","0.0196","ChargePoint","0","0",,"Operational"
"445739","Pizza Hut - Breezewood","PA","FCN","True","matched","225791","0.0441","Tesla (including non-tesla)","0","0",,"Operational"
"445848","Flying J 875","MD","eVgo Network","True","matched","469745","0.0137","eVgo Network","0","0",,"Operational"
"445862","Shell - Mercer","PA","FCN","False","no_poi_within_1mi",,,,,,,
"445863","Shrewsbury, PA - Tesla Supercharger","PA","Tesla","False","nearest_poi_over_0.5mi","141918","0.7151","Blink Charging",,,,
"446473","EVolve NY Afton","NY","Electrify America","True","matched","470314","0.0066","Electrify America","0","0",,"Operational"
"446568","McKinney Station - Newburg","PA","FCN","True","matched","350800","0.0286","Tesla (including non-tesla)","0","0",,"Operational"
"446595","Kwik Trip #1205","WI","KWIK_CHARGE","True","matched","470113","0.0077","Kwik Charge (Kwik Trip)","0","0",,"Operational"
"446900","Jessup, MD - Tesla Supercharger","MD","Tesla","True","matched","497156","0.0224","Tesla (including non-tesla)","0","0",,"Operational"
"447375","FasCharge 4649 Express Stop Flint MI","MI","RED_E","True","matched","471036","0.005","Red E Charge","0","0",,"Operational"
"447376","FasCharge 5869 Admiral Alma MI","MI","RED_E","True","matched","471037","0.0082","Red E Charge","0","0",,"Operational"
"447869","11 Seahawk Ave Parking Lot","ME","Non-Networked","True","matched","370352","0.0055","Tesla (Tesla-only charging)","0","0",,"Operational"
"448011","Sheetz Sewickley, powered by Electrify America","PA","Electrify America","False","no_poi_within_1mi",,,,,,,
"448075","Camp Springs, MD - Tesla Supercharger","MD","Tesla","True","matched","48180","0.2379","ChargePoint","0","0",,
"448288","EVolve NY Alexandria Bay","NY","Electrify America","False","nearest_poi_over_0.5mi","468293","0.5604",,,,,
"448289","Fairfield Inn & Suites - Burnsville","MN","FCN","True","matched","232045","0.3461","Shell Recharge Solutions (US)","0","0",,"Operational"
"448747","Kwik Trip #184","WI","KWIK_CHARGE","True","matched","472224","0.0518","Kwik Charge (Kwik Trip)","0","0",,"Operational"
"448748","Kwik Trip #1176","WI","KWIK_CHARGE","True","matched","472223","0.0722","Kwik Charge (Kwik Trip)","0","0",,"Operational"
"449484","FasCharge Site 5017 Next Door Marathon Mackinaw City","MI","RED_E","True","matched","475224","0.0134","Red E Charge","0","0",,"Operational"
"449611","Miss Portland Diner","ME","JULE","True","matched","231207","0.2307","ChargePoint","0","0",,"Operational"
"449965","Meijer West Chester, OH #147","OH","eVgo Network","True","matched","262860","0.1292","Tesla (Tesla-only charging)","0","0",,"Operational"
"449969","Meijer Troy, OH #112","OH","eVgo Network","True","matched","225917","0.1108","Blink Charging","0","0",,"Operational"
"449971","Meijer Brimfield Twp, OH #317","OH","eVgo Network","True","matched","492549","0.1645","Electrify America","0","0",,"Operational"
"450012","LOVE'S 342 - TX #342 DC2","TX","ChargePoint Network","True","matched","239365","0.0261","Tesla (including non-tesla)","0","0",,"Operational"
"450014","LOVE'S 342 - TX #342 DC1","TX","ChargePoint Network","True","matched","239365","0.0492","Tesla (including non-tesla)","0","0",,"Operational"
"451444","Sheetz New Stanton, powered by Electrify America","PA","Electrify America","True","matched","479609","0.0177","Electrify America","0","0",,"Operational"
"451553","Fireside Market Stone Lake","WI","RED_E","False","no_poi_within_1mi",,,,,,,
"451693","Kwik Trip #930","MN","KWIK_CHARGE","True","matched","375423","0.176",,"0","0",,"Operational"
"452295","SWTCH Energy","PA","SWTCH","False","no_poi_within_1mi",,,,,,,
